sample_id,species,island,date_collected,body_mass_g,flipper_length_mm,sex,region,notes
S0001,Adelie,Torgersen,2021-12-04,4547,201.2,.,Antarctica,juvenile?
S0002,Gentoo,,2023-05-26,4650,212.4,Male,Antarctica,
S0003,adelie,,2022-10-09,2104,191.5,,Antarctica,
S0004,Chinstrap,Bisco,22/01/2021,5766,197.4,F,Antarctica,
S0005,Chinstrap,Dream,2021-11-09,4814,219.9,F,Antarctica,
S0006,Gentoo,Dream,2021-04-27,3959,203.0,.,Antarctica,collected near Pointe Géologie
S0007,Gentooo,,5.8.2023,4168 g,182.6,F,Antarctica,
S0008,Adelie ,Dream,2021-01-28,4847 g,217.9,F,Antarctica,
S0009,Gentoo,Torgersen,2021-11-24,3586,197.5,male,Antarctica,
S0010,Adelie,Torgersen,4.9.2021,3667,199.6,M,Antarctica,
S0011,Gentoo,Biscoe,4.1.2022,4536,NULL,male,Antarctica,weather: storm
S0012,Gentoo,Dream,6.9.2022,3602,231.4,Male,Antarctica,
S0013,Gentooo,Torgersen,04/08/2023,3791,191.4,Male,Antarctica,re-measured
S0014,Adelie,Torgersen,22 May 2021,3895,2167.0,Female,Antarctica,
S0015,chinstrap,Dream,12 Jul 2023,3789,219.2,unknown,Antarctica,weather: storm
S0016,adelie,Dream,5 Aug 2023,4588,203.9,,Antarctica,re-measured
S0017,Adelie ,Dream,28 Apr 2022,3975,213.9,Female,Antarctica,
S0018,Gentoo,,2022-04-02,4210,NULL,Female,Antarctica,
S0019,ADELIE,Biscoe,2021-03-03,4237,207.0,Male,Antarctica,
S0020 ,adelie,,11.9.2023,4075,189.9,unknown,Antarctica,
S0020 ,adelie,,11.9.2023,4075,189.9,unknown,Antarctica,
S0021,adelie,Biscoe,03/02/2023,4699,NA,female,Antarctica,
S0022,Gentoo,Torgersen,1.9.2023,4748,"207,9",male,Antarctica,
S0023, Adelie,Bisco,22.4.2022,3765,203.8,unknown,Antarctica,
S0024,Adelie,Torgersen,6 May 2023,4059,205.5,M,Antarctica,
S0025,gentoo,Bisco,10.1.2021,4219,219.2,Male,Antarctica,
S0026,Chinstrap,Bisco,24/10/2022,2885,213.1,M,Antarctica,
S0027 ,Chinstrap,,09/04/2023,5423,"219,2",Male,Antarctica,
S0028,Chinstrap,Torgersen,01/04/2021,3061,221.9,female,Antarctica,
S0029,Gentoo,Torgersen,6.5.2021,NULL,210.2,female,Antarctica,
S0030,adelie,,2 May 2021,NULL,221.3,Male,Antarctica,
S0031,Gentooo,Torgersen,24.2.2023,3720,190.0,,Antarctica,
S0032,chinstrap,Dream,2022-07-18,5297,204.3,female,Antarctica,
S0033,Adelie ,Bisco,2023-03-22,3134,195.5,Male,Antarctica,
S0034,Adelie ,Dream,,3958,203.2,F,Antarctica,
S0035,chinstrap,,2021-11-23,3948,218.3,Male,Antarctica,
S0036,Gentoo,,15/02/2021,3284,218.8,Female,Antarctica,
S0037,Gentoo,,6 Aug 2023,4118,206.0,,Antarctica,
S0038,Chinstrap Penguin,Biscoe,11.5.2021,3655,"208,0",M,Antarctica,
